time_ms,local_time,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes
41150,2025-10-06_18:24:50.656,MSGF,0,0,44,178
41807,2025-10-06_18:24:50.313,MSGF,0,1,44,178
42464,2025-10-06_18:24:51.970,MSGF,0,2,44,178
43121,2025-10-06_18:24:52.627,MSGF,0,3,44,178
43782,2025-10-06_18:24:52.288,MSGF,0,4,44,178
44439,2025-10-06_18:24:53.945,MSGF,0,5,44,178
45096,2025-10-06_18:24:54.602,MSGF,0,6,44,178
45753,2025-10-06_18:24:54.259,MSGF,0,7,44,178
46410,2025-10-06_18:24:55.916,MSGF,0,8,44,178
47078,2025-10-06_18:24:56.584,MSGF,0,9,44,178
47734,2025-10-06_18:24:56.250,MSGF,0,10,44,179
48411,2025-10-06_18:24:57.927,MSGF,0,11,44,179
49088,2025-10-06_18:24:58.604,MSGF,0,12,44,179
49765,2025-10-06_18:24:58.281,MSGF,0,13,44,179
50454,2025-10-06_18:24:59.970,MSGF,0,14,44,179
51131,2025-10-06_18:25:00.647,MSGF,0,15,44,179
51808,2025-10-06_18:25:00.324,MSGF,0,16,44,179
52485,2025-10-06_18:25:01.001,MSGF,0,17,44,179
53162,2025-10-06_18:25:02.678,MSGF,0,18,44,179
53851,2025-10-06_18:25:02.367,MSGF,0,19,44,179
54529,2025-10-06_18:25:03.045,MSGF,0,20,44,179
55206,2025-10-06_18:25:04.722,MSGF,0,21,44,179
55883,2025-10-06_18:25:05.399,MSGF,0,22,44,179
56560,2025-10-06_18:25:05.076,MSGF,0,23,44,179
57249,2025-10-06_18:25:06.765,MSGF,0,24,44,179
57926,2025-10-06_18:25:07.442,MSGF,0,25,44,179
58603,2025-10-06_18:25:07.119,MSGF,0,26,44,179
59280,2025-10-06_18:25:08.796,MSGF,0,27,44,179
59957,2025-10-06_18:25:09.473,MSGF,0,28,44,179
60646,2025-10-06_18:25:09.162,MSGF,0,29,44,179
61323,2025-10-06_18:25:10.839,MSGF,0,30,44,179
62000,2025-10-06_18:25:11.516,MSGF,0,31,44,179
62677,2025-10-06_18:25:11.193,MSGF,0,32,44,179
63354,2025-10-06_18:25:12.870,MSGF,0,33,44,179
64043,2025-10-06_18:25:13.559,MSGF,0,34,44,179
64720,2025-10-06_18:25:13.236,MSGF,0,35,44,179
65397,2025-10-06_18:25:14.913,MSGF,0,36,44,179
66074,2025-10-06_18:25:15.590,MSGF,0,37,44,179
66751,2025-10-06_18:25:15.267,MSGF,0,38,44,179
67440,2025-10-06_18:25:16.956,MSGF,0,39,44,179
68118,2025-10-06_18:25:17.634,MSGF,0,40,44,179
68795,2025-10-06_18:25:17.311,MSGF,0,41,44,179
69472,2025-10-06_18:25:18.988,MSGF,0,42,44,179
70149,2025-10-06_18:25:19.449,MSGF,0,43,44,96

80602,2025-10-06_18:25:29.107,MSGF,1,0,44,178
81258,2025-10-06_18:25:30.764,MSGF,1,1,44,178
81915,2025-10-06_18:25:31.421,MSGF,1,2,44,178
82571,2025-10-06_18:25:31.077,MSGF,1,3,44,178
83233,2025-10-06_18:25:32.739,MSGF,1,4,44,178
83895,2025-10-06_18:25:33.401,MSGF,1,5,44,178
84552,2025-10-06_18:25:33.058,MSGF,1,6,44,178
85208,2025-10-06_18:25:34.714,MSGF,1,7,44,178
85864,2025-10-06_18:25:34.370,MSGF,1,8,44,178
86526,2025-10-06_18:25:35.032,MSGF,1,9,44,178
87188,2025-10-06_18:25:36.704,MSGF,1,10,44,179
87865,2025-10-06_18:25:36.381,MSGF,1,11,44,179
88542,2025-10-06_18:25:37.058,MSGF,1,12,44,179
89219,2025-10-06_18:25:38.735,MSGF,1,13,44,179
89902,2025-10-06_18:25:39.418,MSGF,1,14,44,179
90586,2025-10-06_18:25:39.102,MSGF,1,15,44,179
91263,2025-10-06_18:25:40.779,MSGF,1,16,44,179
91940,2025-10-06_18:25:41.456,MSGF,1,17,44,179
92617,2025-10-06_18:25:41.133,MSGF,1,18,44,179
93300,2025-10-06_18:25:42.816,MSGF,1,19,44,179
93983,2025-10-06_18:25:43.499,MSGF,1,20,44,179
94660,2025-10-06_18:25:43.176,MSGF,1,21,44,179
95337,2025-10-06_18:25:44.853,MSGF,1,22,44,179
96014,2025-10-06_18:25:45.530,MSGF,1,23,44,179
96697,2025-10-06_18:25:45.213,MSGF,1,24,44,179
97380,2025-10-06_18:25:46.896,MSGF,1,25,44,179
98057,2025-10-06_18:25:47.573,MSGF,1,26,44,179
98734,2025-10-06_18:25:47.250,MSGF,1,27,44,179
99411,2025-10-06_18:25:48.927,MSGF,1,28,44,179
100093,2025-10-06_18:25:49.609,MSGF,1,29,44,179
100777,2025-10-06_18:25:49.293,MSGF,1,30,44,179
101454,2025-10-06_18:25:50.970,MSGF,1,31,44,179
102131,2025-10-06_18:25:51.647,MSGF,1,32,44,179
102808,2025-10-06_18:25:51.324,MSGF,1,33,44,179
103491,2025-10-06_18:25:52.007,MSGF,1,34,44,179
104175,2025-10-06_18:25:53.691,MSGF,1,35,44,179
104852,2025-10-06_18:25:53.368,MSGF,1,36,44,179
105529,2025-10-06_18:25:54.045,MSGF,1,37,44,179
106206,2025-10-06_18:25:55.722,MSGF,1,38,44,179
106889,2025-10-06_18:25:56.405,MSGF,1,39,44,179
107572,2025-10-06_18:25:56.088,MSGF,1,40,44,179
108249,2025-10-06_18:25:57.765,MSGF,1,41,44,179
108926,2025-10-06_18:25:58.442,MSGF,1,42,44,179
109603,2025-10-06_18:25:58.903,MSGF,1,43,44,96

328480,2025-10-06_18:29:37.986,MSGF,2,0,44,178
329143,2025-10-06_18:29:38.649,MSGF,2,1,44,178
329801,2025-10-06_18:29:38.307,MSGF,2,2,44,178
330457,2025-10-06_18:29:39.963,MSGF,2,3,44,178
331119,2025-10-06_18:29:40.625,MSGF,2,4,44,178
331776,2025-10-06_18:29:40.282,MSGF,2,5,44,178
332439,2025-10-06_18:29:41.945,MSGF,2,6,44,178
333096,2025-10-06_18:29:42.602,MSGF,2,7,44,178
333752,2025-10-06_18:29:42.258,MSGF,2,8,44,178
334414,2025-10-06_18:29:43.920,MSGF,2,9,44,178
335071,2025-10-06_18:29:44.587,MSGF,2,10,44,179
335754,2025-10-06_18:29:44.270,MSGF,2,11,44,179
336432,2025-10-06_18:29:45.948,MSGF,2,12,44,179
337109,2025-10-06_18:29:46.625,MSGF,2,13,44,179
337792,2025-10-06_18:29:46.308,MSGF,2,14,44,179
338469,2025-10-06_18:29:47.985,MSGF,2,15,44,179
339152,2025-10-06_18:29:48.668,MSGF,2,16,44,179
339830,2025-10-06_18:29:48.346,MSGF,2,17,44,179
340507,2025-10-06_18:29:49.023,MSGF,2,18,44,179
341190,2025-10-06_18:29:50.706,MSGF,2,19,44,179
341867,2025-10-06_18:29:50.383,MSGF,2,20,44,179
342550,2025-10-06_18:29:51.066,MSGF,2,21,44,179
343228,2025-10-06_18:29:52.744,MSGF,2,22,44,179
343905,2025-10-06_18:29:53.421,MSGF,2,23,44,179
344588,2025-10-06_18:29:53.104,MSGF,2,24,44,179
345265,2025-10-06_18:29:54.781,MSGF,2,25,44,179
345948,2025-10-06_18:29:55.464,MSGF,2,26,44,179
346626,2025-10-06_18:29:55.142,MSGF,2,27,44,179
347303,2025-10-06_18:29:56.819,MSGF,2,28,44,179
347986,2025-10-06_18:29:57.502,MSGF,2,29,44,179
348663,2025-10-06_18:29:57.179,MSGF,2,30,44,179
349346,2025-10-06_18:29:58.862,MSGF,2,31,44,179
350024,2025-10-06_18:29:59.540,MSGF,2,32,44,179
350701,2025-10-06_18:29:59.217,MSGF,2,33,44,179
351384,2025-10-06_18:30:00.900,MSGF,2,34,44,179
352061,2025-10-06_18:30:01.577,MSGF,2,35,44,179
352744,2025-10-06_18:30:01.260,MSGF,2,36,44,179
353422,2025-10-06_18:30:02.938,MSGF,2,37,44,179
354099,2025-10-06_18:30:03.615,MSGF,2,38,44,179
354782,2025-10-06_18:30:03.298,MSGF,2,39,44,179
355459,2025-10-06_18:30:04.975,MSGF,2,40,44,179
356141,2025-10-06_18:30:05.657,MSGF,2,41,44,179
356819,2025-10-06_18:30:05.335,MSGF,2,42,44,179
357496,2025-10-06_18:30:06.796,MSGF,2,43,44,96